user,updated_at,created_at,closed_at,issue_title,issue_number
addaleax,2020-04-07T19:16:16Z,2020-03-29T20:48:12Z,,Nominating @puzpuzpuz as a collaborator,32555
yashLadha,2020-04-01T21:19:42Z,2020-03-29T10:46:59Z,,doc: amend related to execFile explanation,32545
sam-github,2020-03-31T13:28:50Z,2020-03-28T17:43:18Z,,update openssl 1.1.1f (across all release lines),32537
jorgeorpinel,2020-03-31T10:06:38Z,2020-03-28T01:28:50Z,,Win installer fails to install additional tools when .bat file isn't associated to ,32530
sam-github,2020-03-29T04:19:17Z,2020-03-27T21:59:20Z,,child_process.exec/execFile docs have some inconsistencies and inaccuracies,32524
bnoordhuis,2020-04-11T22:07:24Z,2020-03-27T11:56:47Z,,net: close connection if no 'connection' listener,32516
cjihrig,2020-04-03T00:35:08Z,2020-03-26T03:14:22Z,,"cli, report: move --report-on-fatalerror to stable",32496
ronag,2020-03-26T21:08:33Z,2020-03-25T17:46:14Z,,net: handle.onread called again after UV_EOF,32487
dilyanpalauzov,2020-03-25T14:52:30Z,2020-03-25T14:44:52Z,,Describe alternatives to require.extensions,32483
gabrielschulhof,2020-04-07T02:07:56Z,2020-03-25T13:10:34Z,,[v12.x] Backport n api 6 to v12.x,32482
yashLadha,2020-03-25T16:58:44Z,2020-03-25T12:26:34Z,,`class` implementation for files,32480
bnoordhuis,2020-04-01T21:19:49Z,2020-03-24T23:45:14Z,,crypto: add crypto.createMac(),32477
srl295,2020-03-26T18:30:02Z,2020-03-24T19:04:52Z,,"Retry on failed ICU data load, ignoring NODE_ICU_DATA or --icu-data-dir",32466
richardlau,2020-03-24T17:52:42Z,2020-03-24T17:44:31Z,,Check failed: result.second,32463
gengjiawen,2020-04-03T07:42:29Z,2020-03-24T13:59:31Z,,build: add build artifact to CI,32458
gabrielschulhof,2020-03-24T09:42:54Z,2020-03-24T06:59:10Z,,build fails on OSX 10.10,32452
bnoordhuis,2020-04-01T21:19:51Z,2020-03-23T23:34:36Z,,crypto: make crypto.sign() support poly1305 mac,32448
gabrielschulhof,2020-03-24T06:56:29Z,2020-03-23T22:52:39Z,,build fails on OSX 10.12,32447
cTn-dev,2020-03-23T15:31:58Z,2020-03-23T07:09:22Z,,Add support for assigning names to worker_threads,32434
mscdex,2020-03-23T23:37:28Z,2020-03-23T03:09:02Z,,crypto: poly1305 not supported as hmac,32433
jasnell,2020-03-25T12:04:27Z,2020-03-22T20:53:12Z,,events: timing issue awaiting multiple events emitted in same nextTick,32431
doubleswirve,2020-03-23T16:41:40Z,2020-03-22T20:37:32Z,,child_process spawn missing stdout on Ubuntu 20.04,32430
mmarchini,2020-04-01T21:19:52Z,2020-03-22T03:51:11Z,,build: use Actions to validate commit message,32417
mmarchini,2020-03-22T08:57:12Z,2020-03-21T23:33:25Z,,Small memory leaks on `EnvironmentTest.InspectorMultipleEmbeddedEnvironments`,32415
bnoordhuis,2020-04-01T21:19:52Z,2020-03-21T13:09:45Z,,src: make fs functions handle pre-epoch timestamps,32408
